Index,x,y,size,angle,response
122,72.6014,418.645,1.82334,333.628,0.00197884
123,72.8813,422.65,2.00494,172.753,0.00187956
124,72.8813,422.65,2.00494,264.932,0.00187956
125,73.0417,275.706,2.85597,216.983,0.000587688
126,73.1081,261.454,2.00498,310.415,0.0016527
127,73.3879,375.324,4.91546,108.903,0.00148811
128,73.3879,375.324,4.91546,272.756,0.00148811
129,73.3967,216.58,2.08171,169.237,0.00120237
130,73.4116,385.947,1.87915,214.521,0.00121994
131,73.6385,429.17,1.89867,153.737,0.00194748
132,73.8742,136.946,1.98729,231.809,0.00243558
133,73.907,240.693,1.84272,183.628,0.00360033
134,73.9095,210.611,2.35175,223.353,0.00176787
135,74.311,449.118,2.91669,325.643,0.00210869
136,74.4694,399.949,1.98656,116.292,0.00117729
137,74.9366,442.154,5.03695,205.854,0.00341514
138,75.0498,367.433,1.8925,177.609,0.00150498
139,75.0498,367.433,1.8925,279.177,0.00150498
140,75.1159,271.141,2.60024,296.629,0.000706374
141,75.3472,339.392,2.22813,5.20229,0.000606205
142,75.4661,407.721,2.4567,45.1515,0.00262593
143,75.872,387.681,1.90409,343.296,0.00254659
144,76.1001,151.099,3.07165,202.49,0.00162421
145,76.1038,425.205,2.56149,257.554,0.000677625
146,76.3875,382.274,1.90924,3.15926,0.00125722
147,76.3875,382.274,1.90924,170.287,0.00125722
148,76.5229,222.823,3.00937,170.459,0.00309509
149,76.6273,368.968,19.1178,327.797,0.0127422
150,76.6835,418.297,1.92971,170.21,0.00187468
151,76.6835,418.297,1.92971,267.347,0.00187468
152,76.7846,201.987,3.89545,200.619,0.00209289
153,76.8723,119.177,1.98625,272.169,0.00150213
154,77.2132,241.147,2.37542,170.03,0.00221592
155,77.4839,234.405,2.32263,198.659,0.00312863
156,77.608,273.484,5.20683,298.286,0.000900908
157,77.9252,188.312,3.09703,155.977,0.00127743
158,78.2031,335.519,2.25679,344.179,0.00104561
159,78.2394,306.669,2.07498,13.7838,0.000940146
160,78.7751,439.67,1.93225,291.388,0.00102445
161,78.7751,439.67,1.93225,332.778,0.00102445
162,78.9797,429.406,1.83531,209.887,0.00138063
163,79.05,399.903,1.85919,21.9987,0.00319583
164,79.2954,371.117,2.50488,160.965,0.00217826
165,79.5929,237.858,1.83567,22.4696,0.00122534
166,79.691,365.982,1.9299,212.415,0.00104795
167,79.8309,408.171,3.51098,58.6573,0.0018825
168,79.8309,408.171,3.51098,111.237,0.0018825
169,79.8388,318.51,2.81557,255.698,0.0017385
170,79.9131,328.705,1.83238,351.383,0.00118423
171,80.7058,276.97,2.06379,345.397,0.00058324
172,80.8605,157.956,2.9587,169.643,0.00119281
173,81.2932,424.617,2.19163,211.987,0.00288729
174,81.3197,415.76,1.82849,342.256,0.00232303
175,81.4249,368.438,12.6637,322.895,0.0125479
176,81.4249,368.438,12.6637,340.712,0.0125479
177,81.4333,150.526,1.88986,230.421,0.00226754
178,81.519,335.557,1.95505,302.193,0.000585303
179,81.519,335.557,1.95505,337.423,0.000585303
180,81.6206,163.997,2.45485,138.267,0.00163803
181,81.9841,185.805,2.21814,212.536,0.00320144
182,82.0335,400.989,2.12964,23.0825,0.00318041
183,82.0618,458.532,4.49881,25.5407,0.0152421
184,82.1848,211.021,4.83529,199.893,0.00169052
185,82.2663,230.846,2.90195,56.9913,0.00215533
186,82.3486,170.343,3.11863,241.334,0.0018386
187,82.4638,443.162,2.4937,342.058,0.00234255
188,83.2013,330.561,2.55291,340.312,0.00219872
189,83.5685,290.622,3.43565,15.8767,0.001045
190,83.5685,290.622,3.43565,167.861,0.001045
191,83.7051,235.858,3.30139,215.054,0.00234976
192,84.0975,285.17,3.3688,196.136,0.00108112
193,84.3599,121.002,1.9749,68.7495,0.0039095
194,84.3625,254.32,1.9263,52.1495,0.00169071
195,84.3625,254.32,1.9263,213.748,0.00169071
196,84.4056,414.284,1.82922,175.987,0.00198157
197,84.4073,352.692,1.87388,5.3006,0.00108103
198,84.5521,153.65,2.66262,237.059,0.0019614
199,84.5533,188.895,2.54344,214.736,0.00278734
200,84.6114,226.979,1.97056,172.002,0.00232608
201,84.8519,174.598,2.28257,2.78667,0.00190269
202,84.8656,179.035,1.83388,20.9905,0.00203725
203,85.0619,239.884,1.88517,209.886,0.00187554
204,85.1835,133.959,1.90752,223.775,0.00235415
205,85.2838,321.169,1.8589,181.265,0.00256463
206,85.6438,295.076,1.82189,122.401,0.00124605
207,86.1169,85.258,2.98108,73.9599,0.00331497
208,86.2655,373.482,2.03787,14.5329,0.00738227
209,86.3203,449.394,5.29381,29.3922,0.0145269
210,86.3427,406.621,2.11622,111.879,0.00300978
211,86.422,138.496,2.27374,278.397,0.00153966
212,86.7888,163.546,3.11097,32.5991,0.00226501
213,87.1379,225.193,1.83484,177.121,0.00277235
214,87.1702,239.66,4.15533,208.112,0.00193645
215,87.4486,417.915,3.07715,208.179,0.00260649
216,87.5155,115.971,2.01372,230.756,0.00298489
217,87.5494,292.589,1.94036,58.4912,0.00176531
218,87.5494,292.589,1.94036,123.852,0.00176531
219,87.5494,292.589,1.94036,171.055,0.00176531
220,87.6867,202.996,1.97878,10.9687,0.00218969
221,87.7253,300.026,4.76193,89.1665,0.00181819
222,87.7253,300.026,4.76193,242.245,0.00181819
223,87.8135,325.425,1.94656,42.7698,0.00158674
224,87.8899,249.04,2.39769,180.371,0.00248639
225,87.9377,385.886,1.86751,197.798,0.00178933
226,88.3788,403.063,3.14884,102.173,0.00330379
227,88.3817,316.958,8.24996,257.498,0.00170966
228,88.4894,236.019,2.73418,217.876,0.00152047
229,88.6191,277.156,2.52542,281.742,0.00130595
230,88.6761,106.678,3.16312,40.9378,0.00131149
231,88.6786,230.735,2.09938,165.406,0.00094363
232,89.0979,96.5826,2.34158,71.9777,0.00219691
233,89.1003,289.348,5.15184,23.2709,0.00193809
234,89.1003,289.348,5.15184,350.715,0.00193809
235,89.6338,150.505,3.01278,207.309,0.0011591
236,89.6744,361.817,4.66981,312.154,0.00854985
237,89.7866,362.145,4.47843,314.506,0.00844072
238,89.92,350.658,2.03376,49.9073,0.00137495
239,89.9724,432.874,1.81562,288.07,0.00159073
240,89.9812,368.868,3.78398,29.3713,0.0123006
241,89.9966,476.431,2.1739,242.429,0.000982327
242,89.9966,476.431,2.1739,296.571,0.000982327
